provider_id,overall_rating,year,businessname,practicename,practiceaddress1,practiceaddress2,practicecity,state,practicezip9code,telephonenumber,specialitieslist,providertypelist,supplieslist,latitude,longitude,is_contracted_for_cba
34362184,8,2025,MURPHY DME SUPPLY LLC,MURPHY DME SUPPLY LLC,610 MURPHY RD,STE 109,STAFFORD,TX,774775926,8723704608,Medical Supply Company Other,,"Commodes, Urinals, Bedpans|Blood Glucose Monitors/Supplies (Non-Mail Order)|Blood Glucose Monitors/Supplies (Mail Order)|Canes and/or Crutches|Walkers|Orthoses: Off-The-Shelf|Ostomy Supplies|Urological Supplies|Surgical Dressings",29.61034601,-95.56503096,False
34361860,9,2025,QUALITY CARE PHARMACY LLC,QUALITY CARE PHARMACY LLC,5 W MAIN ST,,BERGENFIELD,NJ,7621,2013384549,Pharmacy,,Nebulizer Drugs,40.92800486,-73.99663062,False
34362484,6,2025,PRO OPTICAL INC,PRO OPTICAL INC.,5718 MCARDLE RD,STE 103,CORPUS CHRISTI,TX,784123488,3619940776,Optician,,Prosthetic Lenses: Conventional Eyeglasses|Prosthetic Lenses: Conventional Contact Lenses,27.709604,-97.36450001,False
34362490,7,2025,DX PHARMACY LLC,DX PHARMACY LLC,5810 6TH AVE,,BROOKLYN,NY,112203806,7188081870,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,40.63919181,-74.01318765,False
34361872,6,2025,GREEN REST MATTRESS LLC,GREEN REST MATTRESS LLC,3750 W COLONIAL DR,UNIT 2,ORLANDO,FL,328087906,4074802175,Department Store,,Support Surfaces: Pressure Reducing Beds/Mats/Pads,28.55214146,-81.4225179,False
34361878,8,2025,CAREWELL MED SUPPLY,CAREWELL MED SUPPLY,13701 BURBANK BLVD,,VAN NUYS,CA,914015040,8186460006,Medical Supply Company Other,,"Commodes, Urinals, Bedpans|Blood Glucose Monitors/Supplies (Non-Mail Order)|Blood Glucose Monitors/Supplies (Mail Order)|Heat & Cold Applications|Canes and/or Crutches|Walkers|Orthoses: Custom Fabricated|Orthoses: Prefabricated (Non-Custom Fabricated)|Orthoses: Off-The-Shelf|Surgical Dressings",34.17233629,-118.4314531,False
34361866,3,2025,FRANCISCAN HEALTH MICHIGAN CITY,FRANCISCAN HEALTH MICHIGAN CITY,3500 FRANCISCAN WAY,FIRST FLOOR,MICHIGAN CITY,IN,463600033,2198788300,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,41.65934302,-86.89837199,False
34362454,9,2025,PALMEDEQ CORP,PALMEDEQ CORP,3265 GRANDE VISTA DR,,NEWBURY PARK,CA,913201193,8053761900,Medical Supply Company Other,,"Commodes, Urinals, Bedpans|Hospital Beds (Electric)|Hospital Beds (Manual)|Support Surfaces: Pressure Reducing Beds/Mats/Pads|Canes and/or Crutches|Patient Lifts|Walkers|Wheelchairs (Standard Manual)|Wheelchairs (Standard Manual Related Accessories)|Wheelchair Seating/Cushions|Nebulizer Equipment and/or Supplies|Oxygen Equipment and/or Supplies|Respiratory Suction Pumps",34.19430966,-118.9437683,False
34361884,8,2025,FOOTOPIC INC,FOOTOPIC INC,1112 SE 47TH TER,STE B,CAPE CORAL,FL,339049173,2392571379,Medical Supply Company Other,CERTIFIED ORTH/PROS/PEDORTHIST,Orthoses: Custom Fabricated|Orthoses: Off-The-Shelf|Diabetic Shoes and Inserts|Diabetic Shoes/Inserts - Custom,26.56339676,-81.95056891,False
20595479,6,2025,DRAKE EYE CENTER INC,DRAKE EYE CENTER,697 HWY 31 N,,HARTSELLE,AL,35640,2567733997,Optometrist,,Prosthetic Lenses: Conventional Eyeglasses,34.45272,-86.94818,False
34362190,9,2025,MVM RX PHARMACY INC,MVM RX PHARMACY INC.,800 E 138TH ST,,BRONX,NY,104541902,7186656337,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,40.80374336,-73.91058159,False
34362322,8,2025,METROMED LLC,METROMED LLC,1001 W EULESS BLVD,STE 368,EULESS,TX,760405046,8175080168,Medical Supply Company Other,,Blood Glucose Monitors/Supplies (Non-Mail Order)|Blood Glucose Monitors/Supplies (Mail Order)|Orthoses: Off-The-Shelf,32.82998619,-97.09612002,False
34361926,6,2025,MAXCARE DME INC,MAXCARE DME INC,13668 ROOSEVELT AVE,STE SC3B,FLUSHING,NY,113545510,7185879862,Medical Supply Company Other,,Pneumatic Compression Devices and/or Supplies|Canes and/or Crutches|Walkers|Orthoses: Custom Fabricated|Orthoses: Prefabricated (Non-Custom Fabricated)|Orthoses: Off-The-Shelf|Limb Prostheses|Surgical Dressings|Diabetic Shoes and Inserts|Diabetic Shoes/Inserts - Custom|Lymphedema Compression Treatment Items,40.76005349,-73.82768473,False
34361578,7,2025,MANOR MEDS PHARMACY CORP.,MANOR MEDS PHARMACY CORP.,4031 235TH ST,,DOUGLASTON,NY,113631509,7188198130,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,40.76904781,-73.74903348,False
34362328,8,2025,COASTAL1 MEDICAL EQUIPMENT LLC,COASTAL1 MEDICAL EQUIPMENT LLC,1535 SCHILLINGER RD S,STE D,MOBILE,AL,366958968,8774368095,Medical Supply Company Other,,Blood Glucose Monitors/Supplies (Non-Mail Order)|Blood Glucose Monitors/Supplies (Mail Order)|Canes and/or Crutches|Walkers|Wheelchairs (Standard Manual)|Wheelchairs (Standard Power),30.65891078,-88.22490942,False
34361722,5,2025,BRIDGE MEDICAL SUPPLY CORP,BRIDGE OFFICE,101 DEVANT ST,STE 606,FAYETTEVILLE,GA,302142715,4045954895,Medical Supply Company Other,,Blood Glucose Monitors/Supplies (Non-Mail Order)|Blood Glucose Monitors/Supplies (Mail Order)|Orthoses: Off-The-Shelf,33.449718,-84.48253298,False
34361932,2,2025,SHIFA RX LLC,SHIFA RX LLC,2001 WESTCHESTER AVE,,BRONX,NY,104624555,6462895088,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,40.83378414,-73.85753948,False
20594675,9,2025,TJD ENTERPRISES LLC,TJD ENTERPRISES LLC,143 S WASHINGTON ST,,NASHVILLE,IL,622631430,6183273214,Certified Other|Pharmacy,,"Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs|Commodes, Urinals, Bedpans|Blood Glucose Monitors/Supplies (Non-Mail Order)|Canes and/or Crutches|Wheelchairs (Standard Manual)|Wheelchairs (Standard Manual Related Accessories)|Wheelchair Seating/Cushions|Orthoses: Off-The-Shelf|Ostomy Supplies|Urological Supplies|Nebulizer Equipment and/or Supplies",38.34332,-89.38533,False
34361680,7,2025,LOVELL GOVERNMENT SERVICES,LOVELL GOVERNMENT SERVICES,223 W GREGORY ST,,PENSACOLA,FL,325024821,8504663119,Medical Supply Company Other,,Pneumatic Compression Devices and/or Supplies|Canes and/or Crutches|Orthoses: Custom Fabricated|Orthoses: Off-The-Shelf|Neurostimulators and/or Supplies|Diabetic Shoes and Inserts|Cognitive Behavioral Therapy Devices|Rehabilitative Therapy Devices,30.41456955,-87.21963005,False
34361674,3,2025,BEETHOVEN MEDICAL SUPPLY INC,BEETHOVEN MEDICAL SUPPLY INC,9520 63RD RD,FL 2,REGO PARK,NY,113741160,3472516717,Medical Supply Company Other,,"Commodes, Urinals, Bedpans|Blood Glucose Monitors/Supplies (Non-Mail Order)|Blood Glucose Monitors/Supplies (Mail Order)|Heat & Cold Applications|Insulin Infusion Pumps and/or Supplies|Neuromuscular Elect Stimulators (NMES)/Supplies|Osteogenesis Stimulators|Support Surfaces: Pressure Reducing Beds/Mats/Pads|(TENS) Transcutaneous Electrical Nerve Stimulators and/or Supplies|Ultraviolet Light Devices and/or Supplies|Canes and/or Crutches|Patient Lifts|Power Operated Vehicles (Scooters)|Seat Lift Mechanisms|Walkers|Wheelchairs (Standard Manual)|Wheelchairs (Standard Manual Related Accessories)|Wheelchairs (Standard Power)|Wheelchairs (Standard Power Related Accessories)|Wheelchair Seating/Cushions|Orthoses: Off-The-Shelf|Penile Pumps|Neurostimulators and/or Supplies|Ostomy Supplies|Tracheotomy Supplies|Urological Supplies|Enteral Nutrients|Enteral Equipment and/or Supplies|Nebulizer Equipment and/or Supplies|Surgical Dressings|Lymphedema Compression Treatment Items",40.73059478,-73.86123146,False
34358198,8,2025,M A C T HEALTH BOARD INCORPORATED,MACT OPTOMETRY SONORA,940 SYLVA LN,STE H,SONORA,CA,953705969,2095324123,Optometrist,,Prosthetic Lenses: Conventional Eyeglasses,37.987449,-120.369134,False
34361626,8,2025,"APEX HEALTH GROUP, LLC","APEX HEALTH GROUP, LLC",7245 ARLINGTON BLVD,STE 221,FALLS CHURCH,VA,220423217,7032582802,Medical Supply Company Other,,Heat & Cold Applications|Infrared Heating Pads Systems and/or Supplies|Pneumatic Compression Devices and/or Supplies,38.86470078,-77.19634178,False
34361632,8,2025,SPRINGFIELD DRUGS INC,SPRINGFIELD DRUGS INC,851 SPRINGFIELD AVE,,IRVINGTON,NJ,71113611,8627723871,Pharmacy,,Nebulizer Drugs,40.72795704,-74.22107561,False
34361566,6,2025,BUTLER'S MED PHARMACY CORPORATION,BUTLER'S MED PHARMACY CORPORATION,1393 WEBSTER AVE,,BRONX,NY,104561805,7187660222,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,40.83623635,-73.90764356,False
34361572,1,2025,ENVISION DENTAL SERVICES PA,ENVISION DENTAL SERVICES PA,870 DUNLAWTON AVE,STE 110,PORT ORANGE,FL,321279274,3862564786,,ORAL SURGERY - DENTIST,Facial Prostheses,29.12958318,-81.00198004,False
20562005,6,2025,AIRWAYS MEDICAL LLC,AIRWAYS MEDICAL LLC,9303 TREASURE HILL RD,,LITTLE ROCK,AR,722276217,5019549922,Medical Supply Company Other,OXYGEN & EQUIPMENT,"Commodes, Urinals, Bedpans|Blood Glucose Monitors/Supplies (Mail Order)|Hospital Beds (Electric)|Hospital Beds (Manual)|Support Surfaces: Pressure Reducing Beds/Mats/Pads|Traction Equipment|Patient Lifts|Walkers|Wheelchairs (Standard Manual)|Wheelchairs (Standard Manual Related Accessories)|Wheelchair Seating/Cushions|Tracheotomy Supplies|Continuous Positive Airway Pressure (CPAP) Devices|High Freq Chest Wall Oscillation Devices/Supplies|Mechanical In-Exsufflation Devices|Nebulizer Equipment and/or Supplies|Oxygen Equipment and/or Supplies|Respiratory Assist Devices|Respiratory Suction Pumps|Ventilators Accessories and/or Supplies",34.761,-92.37922,False
34362430,8,2026,MEDEDGE LLC,MEDEDGE LLC,18 S 9TH ST,STE 102,STROUDSBURG,PA,183601630,6108447586,MSC With Orthotic Personnel,,"Commodes, Urinals, Bedpans|Continuous Passive Motion (CPM) Devices|Contracture Treatment Devices: Dynamic Splint|Heat & Cold Applications|Negative Pressure Wound Therapy Pumps/Supplies|Neuromuscular Elect Stimulators (NMES)/Supplies|Pneumatic Compression Devices and/or Supplies|Traction Equipment|(TENS) Transcutaneous Electrical Nerve Stimulators and/or Supplies|Canes and/or Crutches|Walkers|Wheelchairs (Standard Manual)|Wheelchairs (Standard Manual Related Accessories)|Orthoses: Prefabricated (Non-Custom Fabricated)|Orthoses: Off-The-Shelf|Nebulizer Equipment and/or Supplies|Diabetic Shoes and Inserts|Lymphedema Compression Treatment Items",40.98342161,-75.19776707,False
34362640,2,2026,95 FERRY PHARMACY INC,95 FERRY PHARMACY INC,95 FERRY ST,,NEWARK,NJ,71051816,9737329181,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,40.73085039,-74.16138489,False
20538281,3,2026,OLD TOWN PHARMACY LLC,OLD TOWN PHARMACY,100 CHAPEL DR,STE A,MONETT,MO,657089378,4176351100,Certified Other|Pharmacy,,"Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs|Commodes, Urinals, Bedpans|Blood Glucose Monitors/Supplies (Non-Mail Order)|Heat & Cold Applications|Insulin Infusion Pumps and/or Supplies|Support Surfaces: Pressure Reducing Beds/Mats/Pads|(TENS) Transcutaneous Electrical Nerve Stimulators and/or Supplies|Canes and/or Crutches|Walkers|Wheelchairs (Standard Manual)|Wheelchairs (Standard Manual Related Accessories)|Orthoses: Off-The-Shelf|Ostomy Supplies|Urological Supplies|Enteral Nutrients|Enteral Equipment and/or Supplies|Parenteral Nutrients|Parenteral Equipment and/or Supplies|Nebulizer Equipment and/or Supplies|Surgical Dressings|Diabetic Shoes and Inserts|Diabetic Shoes/Inserts - Custom",36.91341,-93.90063,False
20569193,3,2026,HOMETOWN MEDICAL SUPPLIES LLC,HOMETOWN MEDICAL SUPPLIES LLC,4873 WEST LN,STE C,STOCKTON,CA,952104548,2094721136,Medical Supply Company Other,,"Commodes, Urinals, Bedpans|Hospital Beds (Electric)|Hospital Beds (Manual)|Support Surfaces: Pressure Reducing Beds/Mats/Pads|Canes and/or Crutches|Patient Lifts|Power Operated Vehicles (Scooters)|Walkers|Wheelchairs (Standard Manual)|Wheelchairs (Standard Manual Related Accessories)|Wheelchairs (Standard Power)|Wheelchairs (Standard Power Related Accessories)|Wheelchairs (Complex Rehabilitative Manual)|Wheelchairs (Complex Rehab Manual Rel Accessories)|Wheelchairs (Complex Rehabilitative Power)|Wheelchairs (Complex Rehab Power Rel Accessories)|Wheelchair Seating/Cushions",37.99851101,-121.289847,False
21609075,2,2026,"SAMSON DRUGS, INC",SAMSON DRUGS,7 N BROAD ST,,SAMSON,AL,364771101,3348981607,Certified Other|Pharmacy,,Epoetin|Immunosuppressive Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,31.11399201,-86.04909602,False
20346113,9,2026,100 CARE PHARMACY INC,100 CARE PHARMACY INC,3642 UNION ST,,FLUSHING,NY,113546552,7187990138,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,40.76263,-73.82782,False
20546063,8,2026,BLANDON PHARMACY LLC,BLANDON PHARMACY LLC,104 ANNA AVE,STE 6,BLANDON,PA,195109317,6109448899,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs|Blood Glucose Monitors/Supplies (Non-Mail Order)|Orthoses: Off-The-Shelf,40.44301,-75.86839,False
20306219,8,2026,"MISSISSIPPI METHODIST HOSPITAL & REHABILITATION CENTER, INC.",MISSISSIPPI METHODIST HOSPITAL & RE,101 GT THAMES DR,UNIT A1,STARKVILLE,MS,397599042,6626156133,MSC With Prosthetic Personnel,,Neuromuscular Elect Stimulators (NMES)/Supplies|Orthoses: Custom Fabricated|Orthoses: Prefabricated (Non-Custom Fabricated)|Orthoses: Off-The-Shelf|Breast Prostheses and/or Accessories|Limb Prostheses|Diabetic Shoes and Inserts|Diabetic Shoes/Inserts - Custom|Lymphedema Compression Treatment Items,33.44995,-88.8468,False
20345861,2,2026,OZARK SPECIALTY PHARMACY AND HOME INFUSION LLC,OZARK PHARMACY,2725 N WESTWOOD BLVD,STE 6,POPLAR BLUFF,MO,639012367,5737725800,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,36.78675,-90.43041,False
20641769,9,2026,TWIN TIER MANAGEMENT CORP INC,MED SUPPLY DEPOT,360 PULTENEY ST,STE 101,CORNING,NY,148302186,6149012241,Medical Supply Company Other|MSC With Respiratory Therapist,OXYGEN & EQUIPMENT,"Commodes, Urinals, Bedpans|Gastric Suction Pumps|Heat & Cold Applications|Hospital Beds (Electric)|Hospital Beds (Manual)|Support Surfaces: Pressure Reducing Beds/Mats/Pads|Traction Equipment|(TENS) Transcutaneous Electrical Nerve Stimulators and/or Supplies|Canes and/or Crutches|Patient Lifts|Power Operated Vehicles (Scooters)|Seat Lift Mechanisms|Walkers|Wheelchairs (Standard Manual)|Wheelchairs (Standard Manual Related Accessories)|Wheelchairs (Standard Power)|Wheelchairs (Standard Power Related Accessories)|Orthoses: Prefabricated (Non-Custom Fabricated)|Orthoses: Off-The-Shelf|Penile Pumps|Breast Prostheses and/or Accessories|Ostomy Supplies|Tracheotomy Supplies|Urological Supplies|Enteral Nutrients|Enteral Equipment and/or Supplies|Continuous Positive Airway Pressure (CPAP) Devices|Intermittent Positive Pressure Breathing IPPB DEV|Nebulizer Equipment and/or Supplies|Oxygen Equipment and/or Supplies|Respiratory Assist Devices|Respiratory Suction Pumps|Ventilators Accessories and/or Supplies|Surgical Dressings|Lymphedema Compression Treatment Items",42.15254,-77.07745,False
26717146,8,2026,ROOSEVELT CITY PHARMACY INC,"ROOSEVELT CITY PHARMACY, INC.",7918 ROOSEVELT AVE,,JACKSON HEIGHTS,NY,113726717,7182551065,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,40.74730264,-73.88597877,False
20411159,5,2026,AURO PHARMACIES INC,CENTRAL DRUGS,1955 SUNNYCREST DR,STE 100,FULLERTON,CA,928353653,7145151530,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,33.8934,-117.93144,False
34361692,6,2025,D&D MEDICAL SUPPLY LLC,D & D MEDICAL SUPPLY LLC,2401 FOUNTAIN VIEW DR,STE 550,HOUSTON,TX,770574841,7136842699,Medical Supply Company Other,,Blood Glucose Monitors/Supplies (Non-Mail Order)|Blood Glucose Monitors/Supplies (Mail Order)|Heat & Cold Applications|External Infusion Pumps and/or Supplies|Insulin Infusion Pumps and/or Supplies|Speech Generating Devices|Support Surfaces: Pressure Reducing Beds/Mats/Pads|(TENS) Transcutaneous Electrical Nerve Stimulators and/or Supplies|Ultraviolet Light Devices and/or Supplies|Canes and/or Crutches|Seat Lift Mechanisms|Orthoses: Off-The-Shelf|Penile Pumps,29.74160506,-95.48458858,False
34361194,8,2025,JRMRX CORP,JRMRX CORP,14731 W DIXIE HWY,,NORTH MIAMI,FL,331811013,3054541199,Pharmacy,,Epoetin|Immunosuppressive Drugs|Infusion Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,25.91172988,-80.16644399,False
34361806,1,2025,TEAMS PHARMACY CORP,TEAMS PHARMACY CORP,1000 ROUTE 70,STE 7,LAKEWOOD,NJ,87015961,7323675222,Pharmacy,,Immunosuppressive Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs,40.05228596,-74.17580244,False
20637779,3,2025,UNIVERSITY OF WISCONSIN MEDICAL FOUNDATION INC,UNIVERSITY OF WI MEDICAL FOUNDATION,5249 E TERRACE DR,UW HEALTH OPTICA,MADISON,WI,537188339,6082651203,Optometrist|Optician,PHYSICIAN – OPHTHALMOLOGY,Prosthetic Lenses: Conventional Eyeglasses|Prosthetic Lenses: Conventional Contact Lenses,43.14454,-89.29037,False
34362856,6,2025,UNIVERSITY OF WISCONSIN MEDICAL FOUNDATION INC,UNIVERSITY OF WISCONSIN MEDICAL FOU,1 S PARK ST,FL 4,MADISON,WI,537151375,6089160115,Optometrist|Optician,PHYSICIAN – OPHTHALMOLOGY,Prosthetic Lenses: Conventional Eyeglasses|Prosthetic Lenses: Conventional Contact Lenses,43.06723172,-89.39998972,False
34362256,4,2025,PINNACLE LIFE INNOVATIONS LLC,PINNACLE LIFE INNOVATIONS LLC,6926 SHANNON WILLOW RD,STE 100,CHARLOTTE,NC,282261335,3022027777,Medical Supply Company Other,,Orthoses: Off-The-Shelf|Surgical Dressings|External Electrical Stimulation Devices (Not Otherwise Classified),35.08789371,-80.83527212,False
20616203,4,2025,SMITHS FOOD & DRUG CENTERS INC,SMITHSPHARMACY #183,1200 W MAIN ST,,RIVERTON,WY,825011101,3078564934,Pharmacy|Grocery Store,,"Immunosuppressive Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs|Commodes, Urinals, Bedpans|Blood Glucose Monitors/Supplies (Non-Mail Order)|Canes and/or Crutches|Walkers|Ostomy Supplies|Urological Supplies|Enteral Nutrients|Enteral Equipment and/or Supplies|Nebulizer Equipment and/or Supplies|Surgical Dressings",43.02483,-108.40887,False
20616071,8,2025,SMITHS FOOD & DRUG CENTERS INC,SMITHS PHARMACY #132,212 EAST 12300 STREET,,DRAPER,UT,84020,8015712115,Pharmacy|Grocery Store,,"Immunosuppressive Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs|Commodes, Urinals, Bedpans|Blood Glucose Monitors/Supplies (Non-Mail Order)|Canes and/or Crutches|Walkers|Ostomy Supplies|Urological Supplies|Enteral Nutrients|Enteral Equipment and/or Supplies|Nebulizer Equipment and/or Supplies|Surgical Dressings",40.52666,-111.88357,False
20615135,7,2025,SMITHS FOOD & DRUG CENTERS INC,SMITH PHARMACY #185,2405 CY AVE,,CASPER,WY,826043444,3072666250,Pharmacy|Grocery Store,,"Immunosuppressive Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs|Commodes, Urinals, Bedpans|Blood Glucose Monitors/Supplies (Non-Mail Order)|Canes and/or Crutches|Walkers|Ostomy Supplies|Urological Supplies|Enteral Nutrients|Enteral Equipment and/or Supplies|Nebulizer Equipment and/or Supplies|Surgical Dressings",42.82837,-106.35503,False
20616053,2,2025,SMITHS FOOD & DRUG CENTERS INC,SMITH'S PHARMACY 72,1725 UINTA WAY,,PARK CITY,UT,840987534,4356497606,Pharmacy|Grocery Store,,"Immunosuppressive Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs|Commodes, Urinals, Bedpans|Blood Glucose Monitors/Supplies (Non-Mail Order)|Canes and/or Crutches|Walkers|Ostomy Supplies|Urological Supplies|Enteral Nutrients|Enteral Equipment and/or Supplies|Nebulizer Equipment and/or Supplies|Surgical Dressings",40.72329,-111.54285,False
20615687,6,2025,SMITHS FOOD & DRUG CENTERS INC,FRY'S FOOD AND DRUG #40,3421 W THUNDERBIRD RD,,PHOENIX,AZ,850535602,6023750193,Pharmacy|Grocery Store,,"Immunosuppressive Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs|Commodes, Urinals, Bedpans|Blood Glucose Monitors/Supplies (Non-Mail Order)|Canes and/or Crutches|Walkers|Ostomy Supplies|Urological Supplies|Enteral Nutrients|Enteral Equipment and/or Supplies|Nebulizer Equipment and/or Supplies|Surgical Dressings",33.61073,-112.13105,False
20616149,7,2025,SMITHS FOOD & DRUG CENTERS INC,SMITHS PHARMACY #77,402 6TH AVE,,SALT LAKE CITY,UT,841032732,8013554617,Pharmacy|Grocery Store,,"Immunosuppressive Drugs|Nebulizer Drugs|Oral Anticancer Drugs|Oral Antiemetic Drugs|Commodes, Urinals, Bedpans|Blood Glucose Monitors/Supplies (Non-Mail Order)|Canes and/or Crutches|Walkers|Ostomy Supplies|Urological Supplies|Enteral Nutrients|Enteral Equipment and/or Supplies|Nebulizer Equipment and/or Supplies|Surgical Dressings",40.77615,-111.8775,False
