data_as_of,start_date,end_date,group,year,state,sex,age_group,covid_19_deaths,total_deaths,pneumonia_deaths,pneumonia_and_covid_19_deaths,influenza_deaths,pneumonia_influenza_or_covid_19_deaths,footnote,disease_category,prevalence_rate
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,18-29 years,142,"4,549",122,55,,214,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,8.11
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,25-34 years,267,"5,388",218,102,,389,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,30.54
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,30-39 years,416,"6,827",319,147,13,599,,Depression,19.27
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,35-44 years,670,"8,639",468,231,16,921,,Asthma,5.22
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,40-49 years,"1,053","11,224",748,359,14,"1,455",,Cancer,5.98
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,45-54 years,"1,628","15,413","1,114",557,23,"2,206",,Heart Disease,6.76
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,50-64 years,"4,563","43,324","3,440","1,595",93,"6,488",,Diabetes,10.94
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,55-64 years,"3,568","34,215","2,780","1,250",76,"5,163",,Diabetes,14.67
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,65-74 years,"5,481","51,862","4,585","1,946",82,"8,196",,Hypertension,39.27
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,75-84 years,"5,630","58,463","4,914","2,026",84,"8,588",,Asthma,11.41
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,All Sexes,85 years and over,"4,216","52,662","3,446","1,279",58,"6,431",,COPD,7.76
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,All Ages,"11,570","121,096","9,582","4,039",194,"17,279",,Arthritis,20.08
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,Under 1 year,,848,,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,12.37
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,0-17 years,10,"1,648",20,,,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,4.87
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,1-4 years,,201,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,10.5
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,5-14 years,0,298,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,12.45
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,15-24 years,25,"1,956",27,10,,45,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,7.39
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,18-29 years,84,"3,333",70,31,,127,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,39.62
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,25-34 years,156,"3,743",129,59,,230,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,11.57
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,30-39 years,241,"4,484",186,85,,348,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,6.06
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,35-44 years,375,"5,503",267,127,,522,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Cancer,6.49
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,40-49 years,578,"6,904",433,204,,814,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,11.95
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,45-54 years,915,"9,276",644,322,14,"1,249",,Obesity,29.17
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,50-64 years,"2,577","25,931","1,894",874,53,"3,641",,Hypertension,25.4
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,55-64 years,"2,012","20,475","1,517",676,43,"2,889",,Cancer,1.67
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,65-74 years,"3,158","29,680","2,689","1,133",42,"4,752",,Hypertension,21.09
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,75-84 years,"3,099","29,480","2,714","1,126",46,"4,726",,Asthma,9.04
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Male,85 years and over,"1,823","19,636","1,576",585,30,"2,838",,Obesity,36.01
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,All Ages,"9,950","110,506","8,037","3,372",162,"14,759",,Depression,19.02
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,Under 1 year,,643,10,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,19.9
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,0-17 years,,"1,043",25,,,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,35.16
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,1-4 years,,143,,,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,25.86
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,5-14 years,,155,,,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,9.2
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,15-24 years,21,716,24,,,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,21.64
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,18-29 years,58,"1,216",52,24,,87,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,19.32
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,25-34 years,111,"1,645",89,43,,159,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,8.63
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,30-39 years,175,"2,343",133,62,,251,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,33.09
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,35-44 years,295,"3,136",201,104,,399,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,37.47
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,40-49 years,475,"4,320",315,155,,641,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,12.18
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,45-54 years,713,"6,137",470,235,,957,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,28.99
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,50-64 years,"1,986","17,393","1,546",721,40,"2,847",,Depression,19.37
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,55-64 years,"1,556","13,740","1,263",574,33,"2,274",,Obesity,32.36
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,65-74 years,"2,323","22,182","1,896",813,40,"3,444",,Hypertension,23.73
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,75-84 years,"2,531","28,983","2,200",900,38,"3,862",,Heart Disease,7.66
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alabama,Female,85 years and over,"2,393","33,026","1,870",694,28,"3,593",,Diabetes,9.29
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,All Ages,"1,492","20,039","1,486",813,48,"2,211",,Depression,19.59
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,Under 1 year,,198,,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,46.47
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,0-17 years,10,376,,,,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,9.64
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,1-4 years,0,36,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,3.9
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,5-14 years,,71,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,29.71
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,15-24 years,,477,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,38.63
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,18-29 years,20,771,21,10,,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Chronic Kidney Disease,3.59
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,25-34 years,35,942,38,18,,57,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,30.1
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,30-39 years,47,"1,180",61,22,,89,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Cancer,6.16
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,35-44 years,70,"1,197",82,36,,121,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,50.5
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,40-49 years,94,"1,254",98,56,,140,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,32.3
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,45-54 years,129,"1,590",116,70,,180,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,48.22
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,50-64 years,322,"4,184",317,172,,475,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,10.82
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,55-64 years,244,"3,254",255,134,,369,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,7.85
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,65-74 years,389,"4,514",385,238,14,550,,COPD,5.85
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,75-84 years,361,"4,246",360,205,,521,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,9.1
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,All Sexes,85 years and over,249,"3,514",236,109,10,385,,Cancer,5.39
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,All Ages,881,"11,631",870,484,26,"1,292",,Obesity,32.23
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,Under 1 year,,120,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,37.77
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,0-17 years,,235,,,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,3.67
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,1-4 years,0,22,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Chronic Kidney Disease,2.74
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,5-14 years,,49,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Chronic Kidney Disease,5.62
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,15-24 years,,343,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,30.36
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,18-29 years,12,530,,,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,24.91
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,25-34 years,21,589,18,10,,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,5.14
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,30-39 years,27,749,39,14,,55,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,9.06
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,35-44 years,40,767,50,20,,74,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,27.03
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,40-49 years,52,760,50,27,,78,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,37.21
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,45-54 years,84,994,67,42,,112,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,10.09
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,50-64 years,225,"2,722",214,124,,321,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,2.87
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,55-64 years,168,"2,112",173,97,,248,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,44.08
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,65-74 years,237,"2,723",231,141,,331,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,32.19
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,75-84 years,211,"2,411",211,119,,305,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,19.65
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Male,85 years and over,112,"1,501",111,53,,175,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Cancer,5.27
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,All Ages,611,"8,408",616,329,22,919,,Hypertension,22.19
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,Under 1 year,,78,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,26.1
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,0-17 years,,141,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,31.68
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,1-4 years,0,14,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,39.9
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,5-14 years,0,22,0,0,0,0,,Arthritis,29.02
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,15-24 years,,134,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,29.3
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,18-29 years,,241,12,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,17.17
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,25-34 years,14,353,20,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,24.25
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,30-39 years,20,431,22,,0,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,40.09
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,35-44 years,30,430,32,16,,47,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,15.37
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,40-49 years,42,494,48,29,,62,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,21.56
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,45-54 years,45,596,49,28,,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,6.2
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,50-64 years,97,"1,462",103,48,,154,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,27.92
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,55-64 years,76,"1,142",82,37,0,121,,Obesity,32.88
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,65-74 years,152,"1,791",154,97,10,219,,Hypertension,21.33
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,75-84 years,150,"1,835",149,86,,216,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,5.81
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Alaska,Female,85 years and over,137,"2,013",125,56,,210,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,4.66
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Arizona,All Sexes,All Ages,"30,307","284,393","30,328","17,435",377,"43,554",,Obesity,37.47
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Arizona,All Sexes,Under 1 year,,"1,603",30,,,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,6.74
09/27/2023,01/01/2020,09/23/2023,By Total,2020,Arizona,All Sexes,0-17 years,48,"3,178",94,17,15,140,,Arthritis,17.8
