state,year,er_visits,admissions,avg_los,bed_occupancy_rate,er_wait_minutes
RI,2020,61312,21878,4.06,0.57,38
RI,2021,66579,18128,3.92,0.74,103
RI,2022,79893,15534,3.97,0.66,41
RI,2023,43949,23069,6.73,0.78,23
RI,2024,94578,18577,5.55,0.63,39
SC,2016,84732,15206,4.06,0.71,74
SC,2017,51947,8925,4.45,0.73,34
SC,2018,20628,20624,5.11,0.4,5
SC,2019,53753,19432,5.55,0.49,75
SC,2020,56087,18307,2.57,0.69,52
SC,2021,20511,15395,5.58,0.67,35
SC,2022,56107,12999,4.24,0.78,60
SC,2023,51997,16639,3.68,0.7,27
SC,2024,43214,19388,4.03,0.55,22
SD,2016,64399,17232,5.45,0.71,64
SD,2017,70080,17131,6.61,0.6,35
SD,2018,47707,15190,4.68,0.66,56
SD,2019,58442,20033,5.17,0.63,46
SD,2020,45178,19401,3.52,0.71,62
SD,2021,43200,13485,5.09,0.54,48
SD,2022,56192,22561,5.49,0.57,5
SD,2023,62851,22748,2.71,0.46,59
SD,2024,46550,22881,3.88,0.89,36
TN,2016,21794,17216,5.45,0.58,63
TN,2017,63786,16835,2.39,0.59,48
TN,2018,31051,11044,4.05,0.56,74
TN,2019,56829,22527,5.22,0.62,39
TN,2020,81685,5185,2.47,0.64,5
TN,2021,54747,15654,4.02,0.74,39
TN,2022,37153,15960,4.57,0.7,56
TN,2023,33082,23137,5.57,0.71,39
TN,2024,72556,17996,2.97,0.62,36
TX,2016,54745,12213,5.83,0.67,75
TX,2017,63096,9439,4.87,0.8,42
TX,2018,68894,13625,5.94,0.68,66
TX,2019,54264,18639,5.9,0.71,48
TX,2020,50370,18330,4.91,0.48,16
TX,2021,40789,16814,5.08,0.73,27
TX,2022,10000,13894,2.41,0.71,39
TX,2023,32229,16739,2.88,0.81,51
TX,2024,53956,23986,3.29,0.4,29
UT,2016,52371,11397,4.08,0.68,17
UT,2017,61053,18201,5.62,0.67,25
UT,2018,53099,27711,2.36,0.69,35
UT,2019,57390,21325,4.12,0.62,28
UT,2020,66816,15264,2.91,0.7,34
UT,2021,41724,21965,2.63,0.75,83
UT,2022,50692,13487,6.27,0.68,51
UT,2023,30891,18042,4.62,0.65,29
UT,2024,69593,27324,6.46,0.66,45
VT,2016,55576,29364,5.92,0.64,77
VT,2017,62347,7748,3.39,0.68,58
VT,2018,78137,22200,2.27,0.61,43
VT,2019,71193,29691,6.98,0.48,18
VT,2020,54099,14727,4.01,0.81,11
VT,2021,66815,19553,3.13,0.5,38
VT,2022,33524,27043,5.33,0.67,43
VT,2023,61508,15044,4.66,0.55,13
VT,2024,57083,20712,3.69,0.65,18
VA,2016,30725,17644,4.08,0.58,44
VA,2017,75059,6447,4.69,0.67,5
VA,2018,44438,20076,4.59,0.59,11
VA,2019,65248,16895,5.41,0.55,44
VA,2020,48700,23568,4.08,0.71,56
VA,2021,69903,30560,4.09,0.81,52
VA,2022,74683,22103,5.22,0.71,65
VA,2023,42549,15795,4.88,0.69,77
VA,2024,32044,20700,5.81,0.57,63
WA,2016,53028,19210,4.2,0.67,40
WA,2017,67733,24137,4.38,0.72,88
WA,2018,49430,9367,3.11,0.61,79
WA,2019,45797,11002,6.3,0.77,64
WA,2020,62324,5728,2.83,0.67,29
WA,2021,13577,21642,4.74,0.71,53
WA,2022,45029,17885,3.43,0.63,5
WA,2023,34243,14159,4.9,0.63,39
WA,2024,59422,13648,5.39,0.7,5
WV,2016,43956,14566,2.53,0.71,37
WV,2017,38272,12433,4.25,0.71,66
WV,2018,49692,16071,2.39,0.57,46
WV,2019,32973,15034,6.19,0.6,78
WV,2020,54803,26339,3.97,0.67,45
WV,2021,44764,19939,2.61,0.49,47
WV,2022,49338,13088,3.66,0.78,39
WV,2023,44242,14496,6.07,0.71,56
WV,2024,68683,25193,6.29,0.68,45
WI,2016,53367,20714,6.02,0.6,70
WI,2017,62867,19771,3.56,0.76,78
WI,2018,62196,22323,4.32,0.65,53
WI,2019,42907,27516,6.46,0.87,23
WI,2020,63549,10696,3.62,0.71,57
WI,2021,60236,13525,4.1,0.53,73
WI,2022,59704,7556,3.36,0.75,59
WI,2023,49019,20969,3.1,0.62,51
WI,2024,48597,15727,5.95,0.62,64
WY,2016,66783,13968,5.26,0.65,72
WY,2017,87729,13426,5.04,0.66,5
WY,2018,42548,22148,5.2,0.7,76
WY,2019,63016,17147,5.73,0.75,61
WY,2020,49506,14816,6.31,0.72,55
WY,2021,66772,25532,4.49,0.6,35
WY,2022,61574,11723,4.09,0.54,50
WY,2023,70901,10413,3.27,0.59,58
WY,2024,13078,33567,5.8,0.71,16
